[ Block 91 ]  Block number: 9887665  Block average speedup: 5.923843220272053
[ Block 92 ]  Block number: 9887920  Block average speedup: 10.274927000749914
[ Block 93 ]  Block number: 9888515  Block average speedup: 4.1602467452084575
[ Block 94 ]  Block number: 9893915  Block average speedup: 11.879059169181332
[ Block 95 ]  Block number: 9894946  Block average speedup: 4.426186312386313
[ Block 96 ]  Block number: 9895686  Block average speedup: 8.536865276265454
[ Block 97 ]  Block number: 9897907  Block average speedup: 4.545064660882994
[ Block 98 ]  Block number: 9898672  Block average speedup: 5.087602269338513
[ Block 99 ]  Block number: 9898821  Block average speedup: 3.3710263176766055
Legal Block Count: 95
Average Speedup: 6.5186226290040805
